name	X	Y	Z
FP1	0.95	0.309	-0.0349
FP2	0.95	-0.309	-0.0349
Fz	0.719	-0	0.695
F3	0.673	0.545	0.5
F4	0.673	-0.545	0.5
F7	0.587	0.809	-0.0349
F8	0.587	-0.809	-0.0349
FCz	0.391	-0	0.921
FC3	0.36	0.676	0.643
FC4	0.36	-0.676	0.643
FT7	0.309	0.95	-0.0349
FT8	0.309	-0.95	-0.0349
Cz	3.75e-33	-6.12e-17	1
C3	4.4e-17	0.719	0.695
C4	4.4e-17	-0.719	0.695
T3	6.12e-17	0.999	-0.0349
T4	6.12e-17	-0.999	-0.0349
CP3	-0.36	0.676	0.643
CP4	-0.36	-0.676	0.643
TP7	-0.309	0.95	-0.0349
TP8	-0.309	-0.95	-0.0349
Pz	-0.719	-8.81e-17	0.695
P3	-0.673	0.545	0.5
P4	-0.673	-0.545	0.5
T5	-0.587	0.809	-0.0349
T6	-0.587	-0.809	-0.0349
Oz	-0.999	-1.22e-16	-0.0349
O1	-0.95	0.309	-0.0349
O2	-0.95	-0.309	-0.0349
HEOL	0.652	0.608	-0.454
VEOR	0.727	-0.309	-0.613
