onset	duration	trial_type	response_time	value	stim_file
1	2000	1	N/A	1	stim1.png
2001	4000	1	N/A	2	stim2.mp4
6001	2000	1	N/A	3	stim3.png
8001	2000	2	N/A	1	stim1.png
10001	4000	2	N/A	2	stim2.mp4
14001	2000	2	N/A	3	stim3.png
16001	2000	1	N/A	1	stim1.png
18001	4000	1	N/A	2	stim2.mp4
22001	2000	1	N/A	3	stim3.png
24001	2000	2	N/A	1	stim1.png
26001	4000	2	N/A	2	stim2.mp4
30001	2000	2	N/A	3	stim3.png
32001	2000	1	N/A	1	stim1.png
34001	4000	1	N/A	2	stim2.mp4
38001	2000	1	N/A	3	stim3.png
40001	2000	2	N/A	1	stim1.png
42001	4000	2	N/A	2	stim2.mp4
46001	2000	2	N/A	3	stim3.png
48001	2000	1	N/A	1	stim1.png
50001	4000	1	N/A	2	stim2.mp4
54001	2000	1	N/A	3	stim3.png
56001	2000	2	N/A	1	stim1.png
58001	4000	2	N/A	2	stim2.mp4
62001	2000	2	N/A	3	stim3.png
64001	2000	1	N/A	1	stim1.png
66001	4000	1	N/A	2	stim2.mp4
70001	2000	1	N/A	3	stim3.png
72001	2000	2	N/A	1	stim1.png
74001	4000	2	N/A	2	stim2.mp4
78001	2000	2	N/A	3	stim3.png
80001	2000	1	N/A	1	stim1.png
82001	4000	1	N/A	2	stim2.mp4
86001	2000	1	N/A	3	stim3.png
88001	2000	2	N/A	1	stim1.png
90001	4000	2	N/A	2	stim2.mp4
94001	2000	2	N/A	3	stim3.png
96001	2000	1	N/A	1	stim1.png
98001	4000	1	N/A	2	stim2.mp4
102001	2000	1	N/A	3	stim3.png
104001	2000	2	N/A	1	stim1.png
106001	4000	2	N/A	2	stim2.mp4
110001	2000	2	N/A	3	stim3.png
112001	2000	1	N/A	1	stim1.png
114001	4000	1	N/A	2	stim2.mp4
118001	2000	1	N/A	3	stim3.png
120001	2000	2	N/A	1	stim1.png
122001	4000	2	N/A	2	stim2.mp4
126001	2000	2	N/A	3	stim3.png
128001	2000	1	N/A	1	stim1.png
130001	4000	1	N/A	2	stim2.mp4
134001	2000	1	N/A	3	stim3.png
136001	2000	2	N/A	1	stim1.png
138001	4000	2	N/A	2	stim2.mp4
142001	2000	2	N/A	3	stim3.png
144001	2000	1	N/A	1	stim1.png
146001	4000	1	N/A	2	stim2.mp4
150001	2000	1	N/A	3	stim3.png
152001	2000	2	N/A	1	stim1.png
154001	4000	2	N/A	2	stim2.mp4
158001	2000	2	N/A	3	stim3.png
160001	2000	1	N/A	1	stim1.png
162001	4000	1	N/A	2	stim2.mp4
166001	2000	1	N/A	3	stim3.png
168001	2000	2	N/A	1	stim1.png
170001	4000	2	N/A	2	stim2.mp4
174001	2000	2	N/A	3	stim3.png
176001	2000	1	N/A	1	stim1.png
178001	4000	1	N/A	2	stim2.mp4
182001	2000	1	N/A	3	stim3.png
184001	2000	2	N/A	1	stim1.png
186001	4000	2	N/A	2	stim2.mp4
190001	2000	2	N/A	3	stim3.png
192001	2000	1	N/A	1	stim1.png
194001	4000	1	N/A	2	stim2.mp4
198001	2000	1	N/A	3	stim3.png
200001	2000	2	N/A	1	stim1.png
202001	4000	2	N/A	2	stim2.mp4
206001	2000	2	N/A	3	stim3.png
208001	2000	1	N/A	1	stim1.png
210001	4000	1	N/A	2	stim2.mp4
214001	2000	1	N/A	3	stim3.png
216001	2000	2	N/A	1	stim1.png
218001	4000	2	N/A	2	stim2.mp4
222001	2000	2	N/A	3	stim3.png
224001	2000	1	N/A	1	stim1.png
226001	4000	1	N/A	2	stim2.mp4
230001	2000	1	N/A	3	stim3.png
232001	2000	2	N/A	1	stim1.png
234001	4000	2	N/A	2	stim2.mp4
238001	2000	2	N/A	3	stim3.png
240001	2000	1	N/A	1	stim1.png
242001	4000	1	N/A	2	stim2.mp4
246001	2000	1	N/A	3	stim3.png
248001	2000	2	N/A	1	stim1.png
250001	4000	2	N/A	2	stim2.mp4
254001	2000	2	N/A	3	stim3.png
256001	2000	1	N/A	1	stim1.png
258001	4000	1	N/A	2	stim2.mp4
262001	2000	1	N/A	3	stim3.png
264001	2000	2	N/A	1	stim1.png
266001	4000	2	N/A	2	stim2.mp4
270001	2000	2	N/A	3	stim3.png
272001	2000	1	N/A	1	stim1.png
274001	4000	1	N/A	2	stim2.mp4
278001	2000	1	N/A	3	stim3.png
280001	2000	2	N/A	1	stim1.png
282001	4000	2	N/A	2	stim2.mp4
286001	2000	2	N/A	3	stim3.png
288001	2000	1	N/A	1	stim1.png
290001	4000	1	N/A	2	stim2.mp4
294001	2000	1	N/A	3	stim3.png
296001	2000	2	N/A	1	stim1.png
298001	4000	2	N/A	2	stim2.mp4
302001	2000	2	N/A	3	stim3.png
304001	2000	1	N/A	1	stim1.png
306001	4000	1	N/A	2	stim2.mp4
310001	2000	1	N/A	3	stim3.png
312001	2000	2	N/A	1	stim1.png
314001	4000	2	N/A	2	stim2.mp4
318001	2000	2	N/A	3	stim3.png
